1,48633449
2,47248719
1,40162559
3,37799456
5,33948454
1,30071134
3,29356736
2,26951613
3,25030128
8,24551591
4,23518010
9,22405111
5,22062812
1,20294457
2,19985713
7,19480679
3,18571755
5,18053141
14,17617965
20,16908917
19,16606925
22,16126897
1,15684978
24,15089184
1,15011809
12,14849078
27,14809458
18,14329162
15,14273637
3,14174752
5,13963568
32,13205250
11,12818935
10,12572307
4,11996689
36,11869336
3,11683383
15,11629418
39,11553846
1,11524288
41,11477024
17,11287301
33,11283626
2,11196819
9,10739770
46,10315460
1,10222056
48,10215216
29,10032746
20,9841998
19,9799701
52,9781153
19,9635619
40,9600707
52,9428494
56,9319465
57,9206366
31,9086979
34,9048966
31,9017356
46,8977336
26,8935418
9,8881356
2,8843110
8,8832945
2,8821971
33,8564775
35,8564017
69,8514480
12,8490162
71,8269753
72,8133401
33,8102107
74,8093413
75,8006336
12,7975148
2,7912399
9,7735223
7,7717211
1,7687058
7,7642130
6,7637626
83,7516291
76,7465445
32,7452633
11,7434252
42,7383369
78,7381585
89,7365053
23,7353795
55,7336542
1,7244853
6,7156162
94,7084292
75,7064003
96,6984262
97,6858466
60,6853994
99,6825463
22,6813800
52,6799831
85,6711375
103,6709106
88,6699895
2,6697067
45,6660319
3,6653690
59,6635076
109,6614072
110,6584896
46,6569547
24,6546948
113,6539852
9,6502302
80,6488622
116,6469500
80,6452492
9,6317487
5,6300416
99,6278765
80,6244011
2,6242863
1,6180056
12,6164795
13,6152121
126,6136340
122,6089242
128,6065267
11,6040918
99,6014443
131,6012839
19,5952490
4,5928329
76,5914661
135,5912784
108,5907750
110,5848466
138,5847975
14,5845156
2,5769714
141,5768653
81,5756583
5,5734402
25,5693848
13,5691540
90,5690260
100,5682062
59,5672480
110,5668576
103,5652272
147,5647568
121,5628703
153,5627257
154,5618268
142,5607285
128,5594505
68,5576844
6,5570735
19,5566150
121,5493760
120,5478055
31,5477563
4,5467753
5,5453159
13,5436286
59,5434073
7,5431375
13,5420003
1,5386268
155,5382191
144,5379704
20,5378971
94,5375426
110,5366242
65,5315734
72,5245618
4,5238547
100,5235335
138,5204983
149,5178490
15,5166847
181,5145493
183,5145432
184,5104206
110,5103014
80,5098609
40,5092354
45,5090062
52,5068864
5,5065132
191,5063181
64,5016125
41,5002227
194,4992405
149,4978559
8,4977498
197,4973937
58,4954899
199,4950275
172,4948965
66,8859168
87,7371935
116,6464206
127,6238351
129,6161664
76,5883145
150,5822266
159,5702636
22,5696113
105,5627519
17,5383125
180,5335271
13,5288927
175,5242097
20,5235088
15,5203319
193,5173308
71,5150909
79,5116589
122,5110475
75,5097187
22,6318660
4,6142975
28,6111108
17,5588217
164,5454994
22,5435614
169,5269757
80,5259503
184,5186354
187,5173178
183,5068677
71,5041120
95,5036030
184,4975786
141,4954679
194,4938180
101,6731106
55,5912293
132,5876058
40,5392334
152,5347263
101,5321544
72,5258628
25,5234112
4,5135380
189,5029898
8,5013017
55,5011753
11,5005018
136,4992345
32,4980155
81,4973063
101,4965913
117,4938586
43,11756283
47,11380679
59,9889197
63,9503981
69,9142721
73,8884283
82,8218423
85,7917707
108,6988886
121,6503281
132,6268542
141,6034281
165,5527865
50,5424579
176,5393789
179,5362817
138,5341887
10,5203364
1,5108950
59,6893939
17,6308369
146,5666770
112,5511544
11,5430260
6,5246577
96,5220422
66,5189427
1,5145099
31,5124606
170,5085147
6,5079587
39,5048079
133,5043647
17,4975720
7,4971176
2,4916860
175,4912036
23,4911162
176,4910070
119,4904401
7,4898977
161,4862683
84,4846549
84,7615531
71,7506580
106,6989528
124,6410263
128,6323268
59,5470147
166,5456648
36,5395181
179,5335308
181,5322745
2,5265630
12,5242347
108,5155238
39,5142982
54,5125477
195,5119845
1,5041656
97,7324233
117,6439718
126,6249801
134,6040553
10,5645966
72,5552212
27,5347781
21,5300884
47,5298893
127,5241813
3,5201714
96,5113574
170,5404939
105,5378350
108,5372180
175,5368759
85,5266625
82,5207186
4,5143522
8,5085511
129,5068972
4,5063015
200,5051514
15,7880155
95,7450126
25,7198095
106,6935400
53,6634722
118,6628638
18,6333126
67,6299936
134,6277641
137,6237019
69,5738325
27,5393643
2,5335112
154,5282702
91,5252767
195,5174437
64,5174298
198,5156496
199,5152139
127,5150176
25,15967986
30,15171655
32,14051831
36,12648655
48,11647489
55,10712648
34,6081034
92,5595839
87,5518444
148,5375782
5,5294368
182,5278449
58,5218146
110,5215973
5,5191697
77,5165035
38,5127736
47,7347891
61,5831357
10,5448680
169,5346005
115,5290877
19,5264232
71,5258000
3,5241227
184,5203700
7,5125706
164,5103863
82,5088848
66,5062404
4,5037124
71,5024884
199,5018076
53,5018005
72,7939784
113,6325080
7,6127103
122,6083338
137,5768836
10,5655879
20,5480722
42,5467596
63,5377794
33,5200695
100,5198209
